Subject,Session,Block,Index,Reward,Correct_Side,Choice,Response_Latency,Date,Side,Chosen_Higher_Probability,Trial,log_Response_Latency,Task_Type,NewRunIndex,BlockGlobalIndex
F2,1,S,2,1,1,1,55,25-Apr-2025,1,1,40,4.00733318523247,0,1,1
F2,1,S,2,1,1,1,116,25-Apr-2025,1,1,41,4.75359019110636,0,1,1
F2,1,S,2,1,1,1,58,25-Apr-2025,1,1,42,4.06044301054642,0,1,1
F2,1,S,2,0,0,1,206,25-Apr-2025,1,1,43,5.32787616878958,0,1,1
F2,1,S,2,0,1,0,19,25-Apr-2025,1,0,44,2.94443897916644,0,1,1
F2,1,S,2,1,1,1,359,25-Apr-2025,1,1,45,5.88332238848828,0,1,1
F2,1,S,2,1,1,1,44,25-Apr-2025,1,1,46,3.78418963391826,0,1,1
F2,1,S,2,1,1,1,40,25-Apr-2025,1,1,47,3.68887945411394,0,1,1
F2,1,S,2,0,0,1,28,25-Apr-2025,1,1,48,3.3322045101752,0,1,1
F2,1,S,2,0,1,0,67,25-Apr-2025,1,0,49,4.20469261939097,0,1,1
F2,1,S,2,1,0,0,212,25-Apr-2025,0,1,50,5.35658627467201,0,1,1
F2,1,S,2,1,0,0,42,25-Apr-2025,0,1,51,3.73766961828337,0,1,1
F2,1,S,2,1,0,0,122,25-Apr-2025,0,1,52,4.80402104473326,0,1,1
F2,1,S,2,1,0,0,267,25-Apr-2025,0,1,53,5.58724865840025,0,1,1
F2,1,S,2,0,1,0,41,25-Apr-2025,0,1,54,3.71357206670431,0,1,1
F2,1,S,2,0,0,1,40,25-Apr-2025,0,0,55,3.68887945411394,0,1,1
F2,1,S,2,1,0,0,154,25-Apr-2025,0,1,56,5.03695260241363,0,1,1
F2,1,S,2,1,0,0,458,25-Apr-2025,0,1,57,6.12686918411419,0,1,1
F2,1,S,2,0,1,0,14,25-Apr-2025,0,1,58,2.63905732961526,0,1,1
F2,1,S,2,0,0,1,211,25-Apr-2025,0,0,59,5.35185813347607,0,1,1
F2,1,S,2,1,0,0,44,25-Apr-2025,0,1,60,3.78418963391826,0,1,1
F2,1,S,2,1,0,0,42,25-Apr-2025,0,1,61,3.73766961828337,0,1,1
F2,1,S,2,1,0,0,52,25-Apr-2025,0,1,62,3.95124371858143,0,1,1
F2,1,S,2,0,1,0,1057,25-Apr-2025,0,1,63,6.96318998587024,0,1,1
F2,1,S,2,0,0,1,61,25-Apr-2025,0,0,64,4.11087386417331,0,1,1
F2,1,S,2,0,0,1,77,25-Apr-2025,0,0,65,4.34380542185368,0,1,1
F2,1,S,2,0,1,0,28,25-Apr-2025,0,1,66,3.3322045101752,0,1,1
F2,1,S,2,0,0,1,95,25-Apr-2025,0,0,67,4.55387689160054,0,1,1
F2,1,S,2,1,0,0,103,25-Apr-2025,0,1,68,4.63472898822964,0,1,1
F2,1,S,2,1,0,0,172,25-Apr-2025,0,1,69,5.14749447681345,0,1,1
F2,1,S,2,1,0,0,73,25-Apr-2025,0,1,70,4.29045944114839,0,1,1
F2,1,S,2,1,0,0,32,25-Apr-2025,0,1,71,3.46573590279973,0,1,1
F2,1,S,2,1,0,0,57,25-Apr-2025,0,1,72,4.04305126783455,0,1,1
F2,1,S,2,0,1,0,225,25-Apr-2025,0,1,73,5.41610040220442,0,1,1
F2,1,S,2,0,0,1,367,25-Apr-2025,0,0,74,5.90536184805457,0,1,1
F2,1,S,2,1,0,0,54,25-Apr-2025,0,1,75,3.98898404656427,0,1,1
F2,1,S,2,1,0,0,54,25-Apr-2025,0,1,76,3.98898404656427,0,1,1
F2,1,S,2,1,0,0,2675,25-Apr-2025,0,1,77,7.89170465933011,0,1,1
F2,1,S,2,0,1,0,48,25-Apr-2025,0,1,78,3.87120101090789,0,1,1
F2,1,S,2,0,0,1,46,25-Apr-2025,0,0,79,3.8286413964891,0,1,1
F2,1,S,2,1,0,0,7,25-Apr-2025,0,1,80,1.94591014905531,0,1,1
F2,1,S,2,0,0,1,75,25-Apr-2025,0,0,81,4.31748811353631,0,1,1
F2,1,S,2,1,1,1,108,25-Apr-2025,0,0,82,4.68213122712422,0,1,1
F2,1,S,2,1,0,0,324,25-Apr-2025,0,1,83,5.78074351579233,0,1,1
F2,1,S,2,1,0,0,144,25-Apr-2025,0,1,84,4.969813299576,0,1,1
F2,1,S,2,1,0,0,131,25-Apr-2025,0,1,85,4.87519732320115,0,1,1
F2,1,S,2,1,0,0,249,25-Apr-2025,0,1,86,5.51745289646471,0,1,1
F2,1,S,2,1,0,0,82,25-Apr-2025,0,1,87,4.40671924726425,0,1,1
F2,1,S,2,0,1,0,66,25-Apr-2025,0,1,88,4.18965474202643,0,1,1
F2,1,S,2,1,0,0,274,25-Apr-2025,0,1,89,5.61312810638807,0,1,1
F2,1,S,2,1,0,0,8,25-Apr-2025,0,1,90,2.07944154167984,0,1,1
F2,1,S,2,1,0,0,65,25-Apr-2025,0,1,91,4.17438726989564,0,1,1
F2,1,S,2,1,0,0,5,25-Apr-2025,0,1,92,1.6094379124341,0,1,1
F2,1,S,2,0,1,0,68,25-Apr-2025,0,1,93,4.21950770517611,0,1,1
F2,1,S,2,1,0,0,59,25-Apr-2025,0,1,94,4.07753744390572,0,1,1
F2,1,S,2,0,1,0,68,25-Apr-2025,0,1,95,4.21950770517611,0,1,1
F2,1,S,2,0,0,1,293,25-Apr-2025,0,0,96,5.68017260901707,0,1,1
F2,1,S,2,1,0,0,393,25-Apr-2025,0,1,97,5.97380961186926,0,1,1
F2,1,S,2,1,0,0,11,25-Apr-2025,0,1,98,2.39789527279837,0,1,1
F2,1,S,2,1,0,0,82,25-Apr-2025,0,1,99,4.40671924726425,0,1,1
F2,1,V,2,0,1,0,114,25-Apr-2025,1,0,100,4.7361984483945,0,1,2
F2,1,V,2,1,1,1,82,25-Apr-2025,1,1,101,4.40671924726425,0,1,2
F2,1,V,2,0,0,1,40,25-Apr-2025,1,1,102,3.68887945411394,0,1,2
F2,1,V,2,1,1,1,340,25-Apr-2025,1,1,103,5.82894561761021,0,1,2
